titulo,subtitulo,texto,data,url,portal
CPMI do INSS: decisão de Mendonça limita ação de Alcolumbre,"Decisão do STF que prorroga a CPMI do INSS pressiona Alcolumbre, amplia investigação e acirra tensão entre Congresso e Judiciário.","A decisão do ministro André Mendonça, do Supremo Tribunal Federal, que determinou a prorrogação da CPMI do INSS e fixou prazo para a leitura do requerimento, deslocou o centro da crise para o comando do Congresso. Ao tornar obrigatória a continuidade dos trabalhos — independentemente de deliberação política —, o ministro reduziu a margem de manobra do presidente do Congresso, Davi Alcolumbre, que passa a ser o principal responsável por viabilizar ou tensionar o cumprimento da decisão. A liminar do ministro ainda precisará ser referendada pelos demais ministros da Corte, mas já está em vigor.

Na prática, o ministro não apenas assegurou a prorrogação por até 120 dias, como também esvaziou a possibilidade de bloqueio político imediato. Caso a leitura do requerimento não ocorra no prazo estabelecido - 48 horas -, a própria CPMI fica autorizada a seguir funcionando, por força da decisão judicial.

Nos bastidores, porém, o movimento de Alcolumbre aponta para uma estratégia de enfrentamento institucional. O presidente do Congresso reagiu com irritação à decisão, classificando-a como “interferência” do Judiciário, e solicitou à Advocacia do Senado um parecer jurídico sobre o alcance da ordem.

A avaliação, segundo interlocutores, é de que ainda há espaço para reversão. Alcolumbre aposta que o plenário do STF pode derrubar a liminar de Mendonça — julgamento que deve ocorrer nos próximos dias, após o caso ser levado ao colegiado.

O argumento em discussão é enquanto a criação de CPIs e CPMIs é reconhecida como direito da minoria, a prorrogação, na visão de aliados do senador, dependeria de decisão do presidente do Congresso. Mendonça, ao contrário, equiparou os dois entendimentos e tratou a extensão como direito automático, desde que cumpridos os requisitos.

Para o cientista político Flavio Testa, o cenário atual revela não apenas um conflito institucional, mas uma estratégia de autoproteção e omissão por parte das lideranças do Legislativo, especialmente do senador Davi Al",Data Indisponível,https://www.gazetadopovo.com.br/republica/cpmi-do-inss-decisao-de-mendonca-limita-acao-de-alcolumbre-e-acirra-tensao-entre-poderes/,gazetadopovo
STF manda CPMI explicar pedido de acesso a número contatado por Vorcaro,Corte determina que CPMI do INSS esclareça motivos para ter acesso a número que teria sido contatado por Vorcaro no dia de sua primeira prisão. Leia na Gazeta do Povo.,"O Supremo Tribunal Federal (STF) exigiu que a CPMI do INSS esclareça o motivo do pedido de acesso a dados de um número de telefone ligado à Corte que, supostamente, teria sido contatado pelo banqueiro Daniel Vorcaro no dia de sua primeira prisão, no ano passado, durante a deflagração da operação Compliance Zero e que levou à liquidação do Banco Master.

Segundo uma apuração do jornal O Globo, Vorcaro teria conversado com o ministro Alexandre de Moraes fazendo uma espécie de prestação de contas sobre a negociação de venda do banco a investidores árabes. O magistrado, no entanto, negou qualquer diálogo com o banqueiro.

“Não obstante, pede-se licença para consignar que a adequada apreciação da solicitação formulada demanda melhor delimitação de sua finalidade e de seu alcance, porquanto, a depender do objeto visado por essa Comissão, poderá a matéria não se inserir na esfera de atribuições desta Diretoria-Geral, hipótese em que sua apreciação deverá ser submetida à Presidência deste Supremo Tribunal Federal”, afirmou a Diretoria-geral da Corte em ofício e que o Poder360 teve acesso.

No documento, o Supremo reconheceu a “relevância constitucional” da CPMI e disse estar à disposição para colaborar com as investigações. No entanto, condicionou qualquer resposta à clareza do pedido feito pela comissão.

A solicitação partiu do senador Carlos Viana (Podemos-MG), presidente da comissão, que pediu a identificação dos usuários do número nos últimos cinco anos. O prazo de dois dias úteis terminou sem o fornecimento das informações.

A investigação se baseia no envio de mensagens de Daniel Vorcaro a esse número em 17 de novembro de 2025, segundo dados obtidos via Sittel que indicaram que o telefone estaria vinculado ao STF. Em uma entrevista à TV Cultura, Viana chegou a afirmar que o número poderia ser de Moraes, mas depois recuou limitando-se a dizer apenas que o telefone pertence ao Supremo.

Em paralelo, o plenário do STF analisa nesta quinta (26) a decisão monocrática do m",Data Indisponível,https://www.gazetadopovo.com.br/republica/stf-manda-cpmi-explicar-pedido-acesso-numero-contatado-vorcaro/#comentarios?ref=comentarios-materia,gazetadopovo
Greve dos caminhoneiros: 4 efeitos imediatos se categoria parar,Entenda como uma nova greve dos caminhoneiros pode paralisar o Brasil e gerar inflação. Leia mais na Gazeta do Povo.,"Caminhoneiros em protesto bloqueando a Rodovia Presidente Dutra, em Seropédica (RJ), durante a greve de maio de 2018. (Foto: Tomaz Silva/Agência Brasil )

Nesta quinta-feira (26), caminhoneiros se reunirão em assembleia para definir se deflagram uma paralisação a nível nacional. Uma nova greve da categoria, a exemplo da que ocorreu em 2018, poderia colocar em poucos dias a economia brasileira em uma situação crítica.

Ao contrário de 2018, o Brasil hoje tem menos margem para reagir a uma paralisação. A guerra no Oriente Médio pressiona o preço dos combustíveis, enquanto o diesel já acumula forte alta nas últimas semanas e segue defasado em relação ao mercado externo.

Ao mesmo tempo, a colheita agrícola registra atrasos relevantes, o que aumenta a dependência do transporte rodoviário neste momento.

Analistas consultados pela Gazeta do Povo apontam que o perigo reside na combinação de um ""choque externo"" (conflitos no Oriente Médio) com um ""choque interno"" (greve nos transportes). A convergência desses fatores causaria quatro efeitos severos na economia:

1. Falta generalizada de combustíveis

Quando uma greve dos caminhoneiros tem início, o desabastecimento é imediato. Na crise de 2018, em apenas três dias os primeiros sinais de colapso surgiram nos grandes centros urbanos.

Em Minas Gerais e na Bahia, mais de 90% dos postos de combustíveis ficaram sem produto. Aeroportos estratégicos, como o de Brasília, ficaram sem querosene de aviação, forçando o cancelamento de voos. Motoristas enfrentaram filas quilométricas, racionamento e, frequentemente, a impossibilidade de abastecer.

Em 2026, o cenário tenderia a se repetir, mas com maior velocidade. Com o petróleo cotado acima de US$ 100 e o diesel com defasagem de 55%, a pressão sobre os estoques da Petrobras aumentaria rapidamente. O esgotamento nos postos seria mais rápido e agudo do que o registrado há oito anos.

""O diesel é o principal motor logístico do país, e sua alta afeta diretamente o frete de mercadorias, o",Data Indisponível,https://www.gazetadopovo.com.br/economia/greve-caminhoneiros-risco-colapso-economia-brasil/#comentarios?ref=comentarios-materia,gazetadopovo
Argumentos de John Stuart Mill para defender a liberdade de expressão,"Em um momento crucial para a democracia, a Gazeta do Povo resgata os fundamentos da liberdade de expressão no ebook ""","Em um momento crucial para a democracia, a Gazeta do Povo resgata os fundamentos da liberdade de expressão no e-book ""Argumentos Sobre a Liberdade: Um resumo com os argumentos de John Stuart Mill para defender a liberdade de expressão"", de Guido Orgis. A publicação convida o leitor a uma reflexão profunda sobre a relevância do pensamento do filósofo liberal John Stuart Mill, autor da influente obra ""Sobre a Liberdade"".

>> Baixe o e-book Argumentos sobre a Liberdade

O e-book busca argumentos essenciais para a crença contemporânea no valor da livre manifestação de ideias, em um contexto onde essa liberdade nem sempre se mostra garantida. A obra de Mill, considerada uma ""Bíblia libertária"", aborda a liberdade política, autonomia individual, autodesenvolvimento e, principalmente, a liberdade de opinião como um pilar para a busca da verdade.

Um dos pontos centrais destacados no resumo é a íntima ligação entre a liberdade de expressão e o descobrimento da verdade. Mill acreditava que é através da discussão e do confronto de diferentes ideias que podemos chegar a um entendimento mais claro da realidade. Ele argumentava que limitar a liberdade de expressão impede a possibilidade de descobrir novas verdades ou de fortalecer aquelas que já existem através do diálogo com opiniões divergentes, mesmo que pareçam errôneas.

>> Baixe o e-book Argumentos sobre a Liberdade

Mill também nos lembra que ninguém é infalível para determinar quais opiniões são verdadeiras e quais não são. Portanto, ao suprimir qualquer ideia, corremos o risco de perder uma possível verdade ou de impedir que uma verdade parcial se torne mais completa através do debate. Mesmo as opiniões que consideramos erradas podem conter algum elemento de verdade, e o confronto com elas ajuda a refinar nosso entendimento.

Além da busca pela verdade, o e-book explora a importância da liberdade individual para viver de acordo com as próprias convicções, desde que isso não cause dano a outras pessoas. Mill defendia que",Data Indisponível,https://www.gazetadopovo.com.br/ideias/liberdade-de-expressao-em-debate-entenda-os-argumentos-essenciais-de-john-stuart-mill/,gazetadopovo
AO VIVO: STF julga decisão de André Mendonça que prorrogou CPMI do INSS,Supremo analisa decisão que manteve CPMI do INSS após ação de Carlos Viana e questionamento sobre omissão no Congresso.,"O Supremo Tribunal Federal (STF) marcou, para esta quinta-feira (26), o julgamento presencial da decisão do ministro André Mendonça que prorrogou os trabalhos da CPMI do INSS. O processo passou de sessão virtual para presencial após o relator apontar um erro material.

Na prática, Mendonça garantiu a continuidade da comissão e reduziu a possibilidade de interrupção imediata por decisão política.

A medida foi tomada após o presidente da CPMI, o senador Carlos Viana, acionar o STF por meio de um mandado de segurança. Segundo ele, houve omissão da Mesa do Congresso ao não analisar o pedido de extensão do prazo, mesmo com o número necessário de assinaturas.

“O que estamos pedindo é simples: que a Constituição seja respeitada e que a investigação siga até o fim”, afirmou o senador durante uma reunião da CPMI.

Em sua decisão, Mendonça estabeleceu um prazo de 48 horas para que a Mesa do Congresso fizesse a leitura do requerimento. Caso contrário, a leitura seria considerada automaticamente realizada para garantir a continuidade dos trabalhos.

Ministro André Mendonça acatou pedido do senador Carlos Viana para prorrogar a CPMI do INSS

Na prática, Mendonça considerou que houve omissão de Davi Alcolumbre ao não dar andamento ao pedido de prorrogação da comissão, mesmo com o requerimento assinado por mais de um terço dos parlamentares.

“Considero, em sede cautelar, inconstitucional, por ofensiva ao direito subjetivo da minoria parlamentar, a omissão deliberada da Mesa Diretora e da Presidência do Congresso Nacional consistente em deixar de receber e de promover a leitura do pleito de prorrogação da ‘CPMI do INSS’, razão pela qual concedo a liminar para determinar, em cumprimento imediato”, afirmou Mendonça na decisão a que a Gazeta do Povo teve acesso.

Nos bastidores da Corte há uma ala que defende a autocontenção judicial, o que pode levar à derrubada da liminar por maioria de votos. A tensão é agravada pelo avanço das investigações da CPMI sobre o caso do Banco Master,",Data Indisponível,https://www.gazetadopovo.com.br/republica/acompanhe-ao-vivo-andre-mendonca-coloca-stf-contra-parede-para-prorrogacao-da-cpmi/#comentarios?ref=comentarios-materia,gazetadopovo
Embraer apresenta primeiro caça supersônico produzido no Brasil,Embraer montou o primeiro caça supersônico F-39E Gripen em território nacional. A aeronave usa tecnologia da empresa sueca Saab.,"Embraer montou o primeiro caça supersônico F-39E Gripen em território nacional. A aeronave usa tecnologia da empresa sueca Saab. (Foto: EFE/Sebastiao Moreira )

A Embraer apresentou nesta quarta-feira (25) o primeiro caça supersônico fabricado no Brasil, o F-39E Gripen. A iniciativa é uma parceria com a empresa sueca Saab, criadora do modelo, e a Força Aérea Brasileira (FAB). O contrato prevê a produção de outros 14 caças.

A Embraer destacou que esse marco coloca o Brasil “em um seleto grupo de nações com capacidade de desenvolver e produzir aeronaves de combate de alta complexidade”.

O presidente Luiz Inácio Lula da Silva (PT), o ministro da Defesa, José Múcio, e a embaixadora da Suécia no Brasil, Karin Wallensteen, estiveram presentes na cerimônia realizada no complexo industrial da Embraer, em Gavião Peixoto (SP), onde são feitos os caças Gripen E.

“Além da questão econômica e social que a indústria representa, esse projeto permite a consolidação do nosso poder dissuasório, ampliando a capacidade de garantir a soberania nacional e a segurança regional”, disse Múcio.

Lula não discursou no evento, mas publicou um vídeo do momento em que sua aerenove é escoltada por um Gripen.

O contrato firmado em 2014 com o governo prevê o desenvolvimento e a produção de 36 caças Gripen — 28 Gripen E monoposto e 8 Gripen F biposto. Em 2020, o primeiro caça chegou ao Brasil. Até o momento, 11 aeronaves foram entregues.

Segundo a FAB, 15 das 36 aeronaves terão a montagem final realizada em solo nacional, na planta da Embraer.

“A estratégia integra o Programa F-X2 e é considerada fundamental para a absorção de conhecimento técnico avançado, desde a produção e o suporte logístico até futuras modernizações”, disse a Força, em nota.

As aeronaves produzidas no Brasil são iguais às recebidas da Suécia, seguindo padrões de projeto, certificação e qualidade. Desde fevereiro, o Gripen está a serviço do Alerta de Defesa Aérea, a partir da Base Aérea de Anápolis (GO), para garantir a p",Data Indisponível,https://www.gazetadopovo.com.br/republica/embraer-apresenta-primeiro-caca-supersonico-produzido-no-brasil/,gazetadopovo
Mendonça enquadra Alcolumbre e quer avanço de CPMI,"No programa Última Análise desta segunda-feira (23), convidados avaliam decisão de ministro André Mendonça sobre CPMI do INSS.","Na tarde desta segunda-feira (23), o ministro do Supremo Tribunal Federal (STF), André Mendonça, determinou que o presidente do Congresso Nacional, Davi Alcolumbre (União-AP), prorrogue os trabalhos da CPMI do INSS. Mendonça decidiu que Alcolumbre tem 48 horas para receber e ler o requerimento. Com a leitura, os trabalhos da comissão ficam ampliados automaticamente.

Para Mendonça, tanto a criação de uma CPMI, quanto a sua prorrogação, são direitos de minoria parlamentar. “A minoria parlamentar tem o direito subjetivo de instalar e de prorrogar o funcionamento"", ele explicou.

Este será o ponto de partida do programa Última Análise desta segunda-feira (23). Hoje o programa terá a presença da advogada Fabiana Barroso, do escritor Francisco Escorsim e do editor de Ideias da Gazeta do Povo Omar Godoy.

O ""preso secreto"" de Moraes

Outro tema do programa será a prisão do contador Washington Travassos de Azevedo, por Alexandre de Moraes. Após sua prisão, por supostamente ter acessado ilegalmente dados fiscais de autoridades, a defesa do contador decidiu entrar com uma ação de reclamação no STF. Ela questiona a falta de acesso aos autos e outras circunstâncias envolvendo a medida.

A misteriosa ligação de Vorcaro

O programa também vai abordar a reportagem do portal de notícias Portal360, a respeito da misteriosa mensagem do ex-banqueiro Daniel Vorcaro, via WhatsApp, para uma pessoa no dia de sua prisão, em 17 de novembro de 2025. Segundo a matéria, o telefone era do Supremo Tribunal Federal, através de checagem do número.

As viagens de Lulinha

Outro tema do programa será a viagem do empresário Fábio Luís Lula da Silva, o ""Lulinha"", à Noruega e à Finlândia em janeiro de 2025, para ver a aurora boreal com sua família, com todas as despesas pagas pela lobista Roberta Luchsinger. A viagem de luxo pela Escandinávia custou cerca de R$ 300 mil para cada família.

A volta do ""Gilmarpalooza""

Ainda, os convidados vão falar a respeito da iniciativa do ministro Gilmar Mendes, que",Data Indisponível,https://www.gazetadopovo.com.br/ultima-analise/mendonca-enquadra-alcolumbre-e-quer-avanco-de-cpmi/,gazetadopovo
Prisão domiciliar de Bolsonaro vs Collor: entenda as regras,Entenda por que Alexandre de Moraes impôs regras mais rígidas na prisão domiciliar de Bolsonaro em comparação com o benefício dado a Fernando Collor.,"O ministro Alexandre de Moraes, do STF, concedeu prisão domiciliar humanitária ao ex-presidente Jair Bolsonaro nesta quarta-feira (25). No entanto, o magistrado impôs restrições de comunicação e visitas muito mais rígidas do que as aplicadas ao ex-presidente Fernando Collor em caso semelhante.

Quais são as principais diferenças nas regras de visitas?

Enquanto Fernando Collor não possui restrições de dias e horários para ver familiares, Bolsonaro só pode receber seus filhos Flávio, Carlos e Jair Renan em horários fixos, duas vezes por semana, simulando o regime da prisão comum. Além disso, visitas de amigos e políticos, que Collor consegue realizar mediante autorização, estão totalmente suspensas para o ex-presidente Bolsonaro pelo prazo inicial de 90 dias.

Como funciona o monitoramento e a segurança na casa de Bolsonaro?

A vigilância é extremamente rigorosa. A Polícia Militar faz o controle presencial na área externa e no quintal da residência em Brasília. Todos os veículos que entram no local passam por vistoria, inclusive nos porta-malas, e os dados de motoristas e passageiros são registrados. Diferente de Collor, cujos dados da tornozeleira são enviados semanalmente, as informações de Bolsonaro devem ser remetidas diariamente ao STF.

Bolsonaro pode usar redes sociais ou celular?

Não. Existe uma proibição total de uso de celulares, computadores ou qualquer outro meio de comunicação externa, seja diretamente ou por meio de terceiros. Bolsonaro também não pode gravar vídeos, áudios ou publicar em redes sociais. No caso de Collor, a decisão judicial foi omissa sobre esses pontos, permitindo maior liberdade de comunicação eletrônica.

Por quanto tempo vale a prisão em casa e qual o motivo?

A prisão domiciliar de Bolsonaro foi concedida por 90 dias para tratamento de uma broncopneumonia bilateral. Após esse período, ele passará por uma nova perícia médica para decidir se volta ao presídio da Papudinha ou se permanece em casa. Já para Fernando Collor, a medida fo",Data Indisponível,https://www.gazetadopovo.com.br/republica/por-que-a-prisao-domiciliar-de-bolsonaro-e-mais-severa-que-a-de-collor/#comentarios?ref=comentarios-materia,gazetadopovo
Defesa de Vorcaro aponta ligações com esposa de Moraes,A defesa de Vorcaro reuniu documentos que apontam 36 pareceres e 79 reuniões do escritório da esposa de Alexandre de Moraes.,"A defesa do banqueiro Daniel Vorcaro, que negocia um acordo de delação premiada com a Polícia Federal, reuniu documentos sobre a atuação do escritório da advogada Viviane Barci, esposa do ministro Alexandre de Moraes, contratado pelo Banco Master. O material aponta que foram produzidos 36 pareceres e realizadas 79 reuniões no período, enquanto investigadores também rastreiam o patrimônio do empresário e apuram possíveis conexões com autoridades, incluindo mensagens e contatos com integrantes do poder público, ampliando a pressão política e jurídica em torno do caso e dos desdobramentos no STF e no Congresso.



Senado volta a discutir impeachment de ministros do STF

A decisão do ministro André Mendonça de determinar a prorrogação da CPMI do INSS reacendeu no Senado discussões sobre propostas que preveem punições e até mesmo impeachment de ministros do Supremo Tribunal Federal. A medida gerou desconforto no presidente da Casa, Davi Alcolumbre, evidenciando um novo foco de tensão entre o Legislativo e o Judiciário em meio ao avanço das investigações sobre o INSS.

Ministros do STF se dividem em reunião fechada

Uma reunião a portas fechadas no Supremo Tribunal Federal expôs e aprofundou divergências internas entre ministros sobre como reagir à crise envolvendo o caso Banco Master. O encontro, articulado por Gilmar Mendes junto ao presidente da Corte, Edson Fachin, reuniu nomes como Alexandre de Moraes, Flávio Dino e Cristiano Zanin, com parte dos magistrados cobrando uma atuação mais firme e coordenada em defesa de colegas citados nas investigações, enquanto Fachin mantém postura de autocontenção, evidenciando um racha sobre a condução institucional e ampliando o desgaste interno do tribunal.

Base do governo pede afastamento de Carlos Viana da CPMI

O presidente da CPMI do INSS, senador Carlos Viana, virou alvo de um pedido de suspeição e afastamento apresentado por parlamentares da base do governo, que alegam possível conflito de interesses na condução da comissão;",Data Indisponível,https://www.gazetadopovo.com.br/sem-rodeios/defesa-de-vorcaro-aponta-ligacoes-com-esposa-de-moraes/#comentarios?ref=comentarios-materia,gazetadopovo
Mendonça enquadra Alcolumbre e quer avanço de CPMI,"No programa Última Análise desta segunda-feira (23), convidados avaliam decisão de ministro André Mendonça sobre CPMI do INSS.","Na tarde desta segunda-feira (23), o ministro do Supremo Tribunal Federal (STF), André Mendonça, determinou que o presidente do Congresso Nacional, Davi Alcolumbre (União-AP), prorrogue os trabalhos da CPMI do INSS. Mendonça decidiu que Alcolumbre tem 48 horas para receber e ler o requerimento. Com a leitura, os trabalhos da comissão ficam ampliados automaticamente.

Para Mendonça, tanto a criação de uma CPMI, quanto a sua prorrogação, são direitos de minoria parlamentar. “A minoria parlamentar tem o direito subjetivo de instalar e de prorrogar o funcionamento"", ele explicou.

Este será o ponto de partida do programa Última Análise desta segunda-feira (23). Hoje o programa terá a presença da advogada Fabiana Barroso, do escritor Francisco Escorsim e do editor de Ideias da Gazeta do Povo Omar Godoy.

O ""preso secreto"" de Moraes

Outro tema do programa será a prisão do contador Washington Travassos de Azevedo, por Alexandre de Moraes. Após sua prisão, por supostamente ter acessado ilegalmente dados fiscais de autoridades, a defesa do contador decidiu entrar com uma ação de reclamação no STF. Ela questiona a falta de acesso aos autos e outras circunstâncias envolvendo a medida.

A misteriosa ligação de Vorcaro

O programa também vai abordar a reportagem do portal de notícias Portal360, a respeito da misteriosa mensagem do ex-banqueiro Daniel Vorcaro, via WhatsApp, para uma pessoa no dia de sua prisão, em 17 de novembro de 2025. Segundo a matéria, o telefone era do Supremo Tribunal Federal, através de checagem do número.

As viagens de Lulinha

Outro tema do programa será a viagem do empresário Fábio Luís Lula da Silva, o ""Lulinha"", à Noruega e à Finlândia em janeiro de 2025, para ver a aurora boreal com sua família, com todas as despesas pagas pela lobista Roberta Luchsinger. A viagem de luxo pela Escandinávia custou cerca de R$ 300 mil para cada família.

A volta do ""Gilmarpalooza""

Ainda, os convidados vão falar a respeito da iniciativa do ministro Gilmar Mendes, que",Data Indisponível,https://www.gazetadopovo.com.br/ultima-analise/mendonca-enquadra-alcolumbre-e-quer-avanco-de-cpmi/#comentarios?ref=comentarios-materia,gazetadopovo
